Date,AAPL,AAPL_VOL
2024-06-20,209.4375762939453,86172500
2024-06-21,207.2501220703125,246421400
2024-06-24,207.89935302734372,80727000
2024-06-25,208.8282928466797,56713900
2024-06-26,213.00344848632807,66213200
2024-06-27,213.85247802734372,49772700
2024-06-28,210.37648010253903,82542700
2024-07-01,216.49940490722656,60402900
2024-07-02,220.0153350830078,58046200
2024-07-03,221.2938537597656,37369800
2024-07-05,226.07830810546875,60412400
2024-07-08,227.55661010742188,59085900
2024-07-09,228.4156036376953,48076100
2024-07-10,232.71063232421875,62627700
2024-07-11,227.3069000244141,64710600
2024-07-12,230.27345275878903,53046500
2024-07-15,234.1289978027344,62631300
2024-07-16,234.54852294921875,43234300
2024-07-17,228.61538696289065,57345900
2024-07-18,223.9208068847656,66034600
2024-07-19,224.0506591796875,49151500
2024-07-22,223.7010803222656,48201800
2024-07-23,224.74984741210935,39960300
2024-07-24,218.28732299804688,61777600
2024-07-25,217.23855590820312,51391200
2024-07-26,217.7080078125,41601300
2024-07-29,217.98768615722656,36311800
2024-07-30,218.5470428466797,41643800
2024-07-31,221.8232421875,50036300
2024-08-01,218.1075439453125,62501000
2024-08-02,219.60580444335935,105568600
2024-08-05,209.02806091308597,119548600
2024-08-06,206.9904022216797,69660500
2024-08-07,209.57742309570312,63516400
2024-08-08,213.0633850097656,47161100
2024-08-09,215.9900054931641,42201600
2024-08-12,217.52999877929688,38028100
2024-08-13,221.2700042724609,44095400
