Date,PFE,PFE_VOL,OXY,OXY_VOL,JPM,JPM_VOL,MCD,MCD_VOL
2024-06-20,27.35395622253418,29693400,62.43999862670898,11219700,197.57521057128903,8731100,252.3316802978516,4046500
2024-06-21,27.35395622253418,52561600,60.91999816894531,21295000,195.21827697753903,20972500,257.88934326171875,8426600
2024-06-24,27.96532821655273,35414100,63.25,10315100,197.7840576171875,9785900,258.8736267089844,3901200
2024-06-25,27.60047721862793,26300700,63.09999847412109,6212600,196.97853088378903,6915900,255.89097595214844,4252300
2024-06-26,27.038410186767575,30745800,62.869998931884766,5259300,196.342041015625,7758600,256.3383483886719,2796100
2024-06-27,27.41312026977539,28399600,62.68999862670898,4730900,198.0724639892578,7913500,256.6764221191406,2651000
2024-06-28,27.59061622619629,33189200,63.02999877929688,8397000,201.1454315185547,15307600,253.36566162109372,8958700
2024-07-01,27.8272762298584,26209000,62.880001068115234,5321600,204.3178558349609,10205800,248.54373168945312,3817600
2024-07-02,27.442703247070312,21989800,62.36000061035156,6663000,207.67922973632807,7802900,246.3564453125,3944900
2024-07-03,27.31451416015625,15180100,62.31999969482422,4119000,207.54000854492188,5560900,248.5536651611328,2026100
2024-07-05,27.65964126586914,17268700,61.790000915527344,4850700,204.7899932861328,8093100,249.63735961914065,2814300
2024-07-08,27.54131317138672,25694400,60.95000076293945,6330900,205.1699981689453,8707000,246.4161071777344,3163900
2024-07-09,27.3342342376709,36867800,61.02000045776367,5500900,207.6300048828125,9058900,244.3978576660156,4927300
2024-07-10,27.955467224121094,29873600,61.40999984741211,5217200,207.8000030517578,8328500,249.04083251953125,4092700
2024-07-11,28.26115226745605,47322600,61.47999954223633,5158000,207.4499969482422,10658100,253.32589721679688,5546400
2024-07-12,28.517534255981445,28397000,61.20000076293945,5098700,204.94000244140625,15443400,252.43109130859372,4543000
2024-07-15,28.695030212402344,30534400,62.0,8332400,210.0500030517578,10719700,250.07481384277344,3393600
2024-07-16,29.08946418762207,26912100,62.119998931884766,5007200,213.6199951171875,11557000,255.78158569335935,4173000
2024-07-17,29.61208915710449,45395000,63.150001525878906,7923800,216.8699951171875,11572500,259.4900207519531,3711500
2024-07-18,29.296539306640625,47279700,63.72999954223633,9040800,209.97999572753903,12415100,258.0185852050781,3421800
2024-07-19,29.552921295166016,30021200,63.130001068115234,10018700,209.77999877929688,8095900,255.7915496826172,3470600
2024-07-22,29.188072204589844,46483200,61.209999084472656,9944100,210.27999877929688,7663200,258.0384826660156,2759500
2024-07-23,29.08946418762207,25528300,60.40999984741211,8853100,210.3300018310547,5557300,252.58023071289065,2653100
2024-07-24,29.562782287597656,29579400,60.06999969482422,5568200,208.58999633789065,7119000,251.90415954589844,5983300
2024-07-25,29.76000022888184,42296200,60.52999877929688,5711700,208.6699981689453,6403800,250.00521850585935,3323100
2024-07-26,30.770000457763672,35657100,60.540000915527344,5189100,212.2400054931641,8027800,250.54209899902344,4002900
2024-07-29,30.71999931335449,41713700,60.18000030517578,6335300,210.8500061035156,6533600,259.9076232910156,9381000
2024-07-30,31.38999938964844,89857500,60.27000045776367,5804200,215.19000244140625,8850700,264.8985595703125,4936600
2024-07-31,30.540000915527344,40978700,60.81999969482422,5683100,212.8000030517578,9071600,263.86456298828125,4652100
2024-08-01,30.649999618530277,39753100,59.380001068115234,9600100,207.9600067138672,10918600,267.1951904296875,4936000
2024-08-02,30.43000030517578,42364700,57.66999816894531,16195900,199.13999938964844,18041700,275.0892639160156,9585900
2024-08-05,29.739999771118164,37838000,56.18000030517578,13395800,194.8999938964844,13927000,266.8969421386719,6794900
2024-08-06,29.31999969482422,29031800,56.130001068115234,8999100,200.33999633789065,10605800,268.49761962890625,3369300
2024-08-07,28.850000381469727,32866100,56.11000061035156,9895000,200.3999938964844,9204400,267.81158447265625,3540000
2024-08-08,28.76000022888184,32094400,58.52999877929688,13799500,204.05999755859372,7761200,269.6210632324219,3227200
2024-08-09,28.549999237060547,25795600,58.40999984741211,7596900,205.8000030517578,5540200,266.36004638671875,2664900
2024-08-12,28.450000762939453,21141600,58.97999954223633,6594400,206.19000244140625,6936000,267.90106201171875,3008100
2024-08-13,28.850000381469727,34620700,57.459999084472656,22503600,207.94000244140625,6387800,268.74615478515625,2603600
